Variable,Category,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5
Subjects,,8760 (28.6),7113 (23.2),5380 (17.5),6559 (21.4),2858 (9.3)
Age,mean ± std,56.0 ± 8.1,56.2 ± 8.2,55.7 ± 8.2,57.2 ± 8.1,57.2 ± 8.4
Education,mean ± std,5.0 ± 2.4,5.2 ± 2.4,4.8 ± 2.4,4.9 ± 2.4,4.9 ± 2.4
TDI,mean ± std,-1.6 ± 3.0,-1.3 ± 3.1,-1.4 ± 3.1,-0.9 ± 3.3,-0.4 ± 3.5
BMI,mean ± std,25.5 ± 3.3,26.5 ± 4.0,26.8 ± 4.1,29.9 ± 4.9,29.7 ± 6.0
Males,n (%),3938 (45.0),3071 (43.2),2429 (45.1),3346 (51.0),1465 (51.3)
Ethnicity,,,,,,
Ethnicity,Asian,118 (1.3),154 (2.2),75 (1.4),165 (2.5),108 (3.8)
Ethnicity,Black,153 (1.7),154 (2.2),154 (2.9),145 (2.2),103 (3.6)
Ethnicity,Mixed,139 (1.6),205 (2.9),101 (1.9),175 (2.7),129 (4.5)
Ethnicity,White,8350 (95.3),6600 (92.8),5050 (93.9),6074 (92.6),2518 (88.1)
Site,,,,,,
Site,Midlands,1322 (15.1),1118 (15.7),841 (15.6),1046 (15.9),484 (16.9)
Site,North England,3480 (39.7),2687 (37.8),2288 (42.5),2759 (42.1),1111 (38.9)
Site,Scotland,680 (7.8),533 (7.5),395 (7.3),480 (7.3),226 (7.9)
Site,South England,3019 (34.5),2565 (36.1),1705 (31.7),2067 (31.5),934 (32.7)
Site,Wales,259 (3.0),210 (3.0),151 (2.8),207 (3.2),103 (3.6)
Smoking Status,,,,,,
Smoking Status,Current,467 (5.3),432 (6.1),497 (9.2),1165 (17.8),578 (20.2)
Smoking Status,N/A,30 (0.3),29 (0.4),16 (0.3),35 (0.5),24 (0.8)
Smoking Status,Never,5373 (61.3),4437 (62.4),2890 (53.7),3053 (46.5),1295 (45.3)
Smoking Status,Previous,2890 (33.0),2215 (31.1),1977 (36.7),2306 (35.2),961 (33.6)
Alcohol Intake,,,,,,
Alcohol Intake,Current,8260 (94.3),6475 (91.0),5106 (94.9),5950 (90.7),2422 (84.7)
Alcohol Intake,N/A,9 (0.1),14 (0.2),10 (0.2),16 (0.2),18 (0.6)
Alcohol Intake,Never,280 (3.2),370 (5.2),156 (2.9),342 (5.2),237 (8.3)
Alcohol Intake,Previous,211 (2.4),254 (3.6),108 (2.0),251 (3.8),181 (6.3)
Household Income,,,,,,
Household Income,"Greater than £100,000",554 (6.3),306 (4.3),333 (6.2),228 (3.5),64 (2.2)
Household Income,"Less than £18,000",1337 (15.3),1205 (16.9),884 (16.4),1482 (22.6),810 (28.3)
Household Income,N/A,1250 (14.3),1084 (15.2),804 (14.9),993 (15.1),489 (17.1)
Household Income,"£18,000 to £31,000",1830 (20.9),1631 (22.9),1107 (20.6),1483 (22.6),635 (22.2)
Household Income,"£31,000 to £52,000",2060 (23.5),1604 (22.6),1236 (23.0),1431 (21.8),509 (17.8)
Household Income,"£52,000 to £100,000",1729 (19.7),1283 (18.0),1016 (18.9),942 (14.4),351 (12.3)
