,1_mean,1_std,2_mean,2_std,3_mean,3_std,4_mean,4_std,5_mean,5_std
L acoustic radiation,0.42264270307167234,0.021517232934796144,0.4235756383307573,0.021898507586642614,0.4235939632829374,0.023568431608340087,0.42397879156908663,0.022628753056107506,0.41796974436090223,0.041794124998844065
R acoustic radiation,0.4107565881683732,0.021568554503174242,0.4112111112828439,0.021005450601059267,0.4114315205183585,0.020949472154729996,0.4130974426229508,0.022673863208473807,0.4052430977443609,0.04100969217644826
L anterior thalamic radiation,0.3987085893060296,0.019385204966673182,0.3983379737248841,0.018239210970529468,0.3979697732181426,0.018073906284692652,0.39639844028103044,0.021764027114429495,0.394567,0.040694086175593974
R anterior thalamic radiation,0.3914898941979522,0.018555060223713907,0.39134477434312215,0.017701751968053153,0.3905616717062635,0.017188948123400667,0.38948677751756444,0.020433221585246762,0.3887715112781955,0.03931121540226505
L cingulate gyrus part of cingulum,0.5355962650739476,0.03494097488807336,0.5318373879443586,0.03373779190205939,0.5311199028077753,0.0342512298871866,0.5322232224824356,0.03450880155088774,0.5271102030075188,0.05768278713606194
R cingulate gyrus part of cingulum,0.4951774607508532,0.034473931193701415,0.49381577588871717,0.03355866083932662,0.49372832613390927,0.03409819501975915,0.4931502669789227,0.034227489211754385,0.49074154135338344,0.05556779534776215
L corticospinal tract,0.5435888202502844,0.023712955625194876,0.5463044945904173,0.02317945541923043,0.545316211663067,0.023058424751394174,0.5471810398126463,0.022154101686716166,0.5416680902255638,0.0527458391029436
R corticospinal tract,0.5343412901023891,0.024605362918841675,0.536313058732612,0.024941658263031685,0.5362829416846653,0.023126602514706187,0.5400505925058549,0.023496117682462205,0.533195977443609,0.05519829469800376
Forceps major,0.5812086143344709,0.026576643690508203,0.5820349196290572,0.026477926562092927,0.5828176954643628,0.02674725000753345,0.5806270234192038,0.027881303474396196,0.5745497443609022,0.05675674902648465
Forceps minor,0.46343212514220705,0.020797288542940114,0.4637540200927357,0.02015510933366322,0.46328042548596116,0.02044912772169781,0.4605056838407494,0.022200696616947485,0.45823033834586463,0.0460886749207746
L inferior fronto-occipital fasciculus,0.4773855369738339,0.022794798437166686,0.4780835950540958,0.022412888251146176,0.4772175334773218,0.021586247959878263,0.47491392037470725,0.023688532816994255,0.46967633834586464,0.04810619869856239
R inferior fronto-occipital fasciculus,0.4645877383390216,0.02077202245766092,0.4656648979907264,0.021098304279258233,0.4638597429805616,0.01999429045290638,0.46304510538641686,0.021711568683865742,0.4605592857142857,0.02215087110318396
L inferior longitudinal fasciculus,0.46072859385665527,0.021647369597687146,0.46261829057187015,0.021677432334103783,0.4607409676025918,0.021013869172695765,0.45883376346604215,0.021896769281878697,0.45545233082706765,0.02256393595572294
R inferior longitudinal fasciculus,0.4490518759954493,0.01981623526894138,0.45091221020092737,0.019981605126683892,0.4489271900647948,0.018715121025134812,0.44788697658079624,0.021025873417337308,0.4444196165413534,0.020416469878478387
L medial lemniscus,0.42285249715585893,0.025437753350374973,0.42529672024729515,0.02525786287881259,0.4240511339092873,0.02513877102209871,0.42452807494145195,0.026951479610345316,0.42448516541353387,0.029822871703173482
R medial lemniscus,0.4236392013651877,0.026088140065229835,0.4268570123647604,0.024745903613214885,0.42405470626349895,0.02595192274604258,0.4254037259953162,0.026664648648038438,0.42731438345864664,0.029277132865067494
Middle cerebellar peduncle,0.4816773048919227,0.027783972603240916,0.48231766306027823,0.028881457064276486,0.4818501641468682,0.03584202325663051,0.48339566042154564,0.03148001797883533,0.4845331278195488,0.032126536137878095
L parahippocampal part of cingulum,0.3098153731513083,0.030043147085809737,0.31351639567233386,0.02939283189728872,0.3084606069114471,0.032124083042902735,0.3101758735362998,0.03089338745764833,0.3093555864661654,0.03355554871361268
R parahippocampal part of cingulum,0.3056485893060296,0.0333769226269649,0.30894525038639875,0.032181994287554756,0.3053543347732181,0.03288122611130081,0.3100947704918033,0.033911578971449766,0.30421182706766914,0.04050390302807553
L posterior thalamic radiation,0.4592049704209329,0.023463562396732633,0.46155195208655336,0.02336570316607376,0.4593006177105831,0.022336149106593546,0.4534615971896956,0.023443143719283813,0.4502936165413534,0.04776293174147959
R posterior thalamic radiation,0.45448386689419795,0.021555179887574123,0.45591688408037095,0.02109298702804275,0.45402825485961124,0.020816606327013695,0.45062643793911006,0.02225690222483326,0.4456744736842105,0.04597530996922531
L superior longitudinal fasciculus,0.443891819112628,0.020882870320821888,0.4445912967542504,0.02238208063495374,0.4441793563714903,0.02100720900382297,0.4423709578454333,0.022522357215713665,0.440984992481203,0.02420904396635882
R superior longitudinal fasciculus,0.4241201308304892,0.019385979739611835,0.425640942812983,0.020591776251160054,0.4246251749460043,0.020503651815632438,0.42332280562060887,0.022210946609674445,0.4226596842105263,0.021585554292785584
L superior thalamic radiation,0.4237073435722412,0.019378249336943192,0.4255430247295209,0.019479402000805494,0.42341658747300215,0.019143767796274535,0.42362935597189694,0.019634709932443692,0.42074413533834587,0.042153996185663574
R superior thalamic radiation,0.4205806871444824,0.019130813831256668,0.4221360633693972,0.01903624525518315,0.41999936717062636,0.018873649790047534,0.4206148266978923,0.019818221207135774,0.4182098195488722,0.043009830062587386
L uncinate fasciculus,0.387722574516496,0.023568658368290113,0.3865724064914992,0.023102837969628705,0.38481958747300216,0.023354584376956113,0.3861207892271663,0.02478696132098972,0.3828402481203007,0.027711394184661054
R uncinate fasciculus,0.38571833105802045,0.02168473155281932,0.3856826476043277,0.020823124587378988,0.3847195118790497,0.020390391598294182,0.38562753161592506,0.021419034593688883,0.3839600827067669,0.021933735728685965
