HR,Lower_CI,Upper_CI,Disease,Subtype
0.998524188299006,0.9185141117592482,1.085503795590596,Congestive Heart failure,2
1.0090967128830233,0.919748661777259,1.1071243898128387,Congestive Heart failure,3
1.005257757502964,0.9223987156999897,1.0955600239024694,Congestive Heart failure,4
0.9977812105316868,0.883712538816057,1.12657374469743,Congestive Heart failure,5
0.95610229506795,0.8837524095944305,1.0343752262624237,Coronary heart disease,2
0.9820577474017684,0.8997839171931331,1.0718544761728888,Coronary heart disease,3
1.071938875788835,0.9883601229180113,1.1625853034569975,Coronary heart disease,4
1.1886734371754784,1.0600186190793877,1.3329431340306925,Coronary heart disease,5
0.9589264455456743,0.890293553743499,1.0328502594457605,Chronic obstructive pulmonary disease (COPD),2
0.9929918051038581,0.9143881346211722,1.0783524935086002,Chronic obstructive pulmonary disease (COPD),3
1.1224147167637135,1.0407652005221362,1.2104697541537104,Chronic obstructive pulmonary disease (COPD),4
1.2429783571225985,1.1189062543521575,1.3808084370479639,Chronic obstructive pulmonary disease (COPD),5
0.9548146209981015,0.8819126412846795,1.0337429330230712,Stroke,2
1.0000243181228836,0.9155694440739809,1.0922695632864865,Stroke,3
1.0451824167895678,0.9629185532464011,1.1344742301237454,Stroke,4
1.0896585981682172,0.9702884980676467,1.2237142488307062,Stroke,5
0.9839937025595498,0.9085905151147897,1.065654539167763,Dementia,2
0.9923407658635177,0.9081317468114386,1.0843582982889166,Dementia,3
1.0071106714218754,0.9279285031278545,1.0930496272858528,Dementia,4
1.0530128761611357,0.9380697071788857,1.1820402139365718,Dementia,5
0.8387331819493362,0.7814516419567706,0.9002135419939064,Type 2 diabetes,2
1.0038852547318606,0.9289903471791401,1.084818166010199,Type 2 diabetes,3
1.4972377878854028,1.3971989542313534,1.604439358248175,Type 2 diabetes,4
1.9243642697852288,1.7529503607791703,2.1125400500103195,Type 2 diabetes,5
0.9582184359834076,0.9086872711107039,1.0104494695256132,Cancer,2
0.9757847752708604,0.9202708466412659,1.0346474965772405,Cancer,3
1.0023078320339625,0.9500647011915984,1.0574237616623348,Cancer,4
1.1302933671688589,1.051443561851751,1.215056273316216,Cancer,5
0.9426404230226821,0.8980765854256251,0.9894155816291113,Healthspan,2
1.0293773682492144,0.9762676245721674,1.0853763246815014,Healthspan,3
1.1290352581892549,1.07724346158452,1.1833171048998412,Healthspan,4
1.3429806449714718,1.2639537680592692,1.4269485627922243,Healthspan,5
